rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,closed,unaccredited
1440,=143,The University of Western Australia,62.7,1440,37.7,368,48.6,152,88.7,144,97.2,94,93.5,74,Australia,"19,382",22.4,26%,50 : 50,23%,The University of Western Australia,"Physics & Astronomy,Electrical & Electronic Engineering,Civil Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Psychology,Veterinary Science,Biological Sciences,Sociology,Archaeology,Architecture,Sport Science,Chemical Engineering,History, Philosophy & Theology,Languages, Literature & Linguistics,Geography,Medicine & Dentistry,Chemistry,Mathematics & Statistics,Art, Performing Arts & Design,Business & Management,Law,Accounting & Finance,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Other Health,Computer Science,Communication & Media Studies,Agriculture & Forestry,Education",False,False
1450,=145,University of Pittsburgh-Pittsburgh campus,62.5,1450,49.1,141,46.1,178,92.4,87,76.1,316,50.9,778,United States,"26,305",5.4,10%,56 : 44,14%,University of Pittsburgh-Pittsburgh campus,"Electrical & Electronic Engineering,Geography,Architecture,Chemistry,Economics & Econometrics,Psychology,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Mathematics & Statistics,Education,Computer Science,Communication & Media Studies,Business & Management,Geology, Environmental, Earth & Marine Sciences,Other Health,Law,General Engineering,Medicine & Dentistry,Chemical Engineering,Art, Performing Arts & Design,Civil Engineering,Sociology,Biological Sciences,Languages, Literature & Linguistics,Physics & Astronomy,Accounting & Finance,Politics & International Studies (incl Development Studies),Sport Science",False,False
1460,=145,Sungkyunkwan University (SKKU),62.5,1460,55.5,94,54.2,114,72.9,486,98.8,73,61.3,555,South Korea,"23,402",19.4,19%,,22%,Sungkyunkwan University (SKKU),"Architecture,Chemical Engineering,Education,Other Health,Communication & Media Studies,Accounting & Finance,Languages, Literature & Linguistics,Biological Sciences,Psychology,Art, Performing Arts & Design,Medicine & Dentistry,Sport Science,Business & Management,General Engineering,Chemistry,History, Philosophy & Theology,Law,Civil Engineering,Sociology,Computer Science,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Mathematics & Statistics",False,False
1470,147,University of York,62.4,1470,42.4,256,44.8,191,90.8,112,66.9,507,93.1,83,United Kingdom,"19,505",16.1,31%,56 : 44,28%,University of York,"Chemistry,Archaeology,Geography,Economics & Econometrics,Computer Science,Electrical & Electronic Engineering,General Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Physics & Astronomy,Business & Management,Law,Accounting & Finance,Education,Mathematics & Statistics,History, Philosophy & Theology,Medicine & Dentistry,Psychology,Communication & Media Studies,Sociology,Art, Performing Arts & Design,Biological Sciences,Politics & International Studies (incl Development Studies),Other Health",False,False
1480,148,University of Technology Sydney,62.3,1480,36.2,421,43.3,207,95.9,39,78.9,278,94.3,60,Australia,"28,223",37.4,25%,50 : 50,33%,University of Technology Sydney UTS,"General Engineering,Chemistry,Computer Science,Sport Science,Psychology,Other Health,Agriculture & Forestry,Accounting & Finance,Medicine & Dentistry,Physics & Astronomy,Law,Architecture,Mathematics & Statistics,Education,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies,Business & Management,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,History, Philosophy & Theology,Biological Sciences,Geography,Economics & Econometrics",False,False
1490,149,Pohang University of Science and Technology (POSTECH),62.2,1490,58.1,85,51.5,130,77.2,392,100.0,21,40.0,1118,South Korea,"3,300",10.5,5%,,42%,Pohang University of Science and Technology (POSTECH) postech,"Physics & Astronomy,General Engineering,Biological Sciences,Agriculture & Forestry,Mechanical & Aerospace Engineering,Other Health,Chemical Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Computer Science,Communication & Media Studies,Art, Performing Arts & Design",False,False
1500,=150,University of Auckland,62.0,1500,39.7,316,45.7,182,88.3,148,95.8,109,89.9,130,New Zealand,"35,663",24.4,31%,57 : 43,24%,University of Auckland UOA Auckland University,"Psychology,Civil Engineering,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemical Engineering,Economics & Econometrics,Law,Medicine & Dentistry,Biological Sciences,Archaeology,Sociology,Languages, Literature & Linguistics,Architecture,Geography,Sport Science,Physics & Astronomy,Accounting & Finance,General Engineering,Other Health,Art, Performing Arts & Design,Education,Business & Management,Chemistry,Computer Science,Geology, Environmental, Earth & Marine Sciences",False,False
1510,=150,Sichuan University,62.0,1510,59.1,81,57.3,99,69.3,574,93.2,135,46.1,929,China,"49,117",15.9,5%,,28%,Sichuan University,"Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Business & Management,Computer Science,Education,Chemical Engineering,Sociology,Art, Performing Arts & Design,General Engineering,Economics & Econometrics,History, Philosophy & Theology,Mathematics & Statistics,Communication & Media Studies,Accounting & Finance,Other Health,Physics & Astronomy,Architecture,Biological Sciences,Politics & International Studies (incl Development Studies),Archaeology,Civil Engineering,Law,Medicine & Dentistry,Chemistry",False,False
1520,=152,University of Barcelona,61.9,1520,42.4,254,47.3,163,91.4,100,83.9,218,65.2,482,Spain,"44,365",15.3,11%,64 : 36,17%,University of Barcelona,"Physics & Astronomy,Business & Management,Languages, Literature & Linguistics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Law,Agriculture & Forestry,Computer Science,Communication & Media Studies,Art, Performing Arts & Design,Chemical Engineering,Archaeology,Economics & Econometrics,Sociology,Education,Geography,History, Philosophy & Theology,Psychology,Medicine & Dentistry,Other Health,Accounting & Finance,Sport Science,Biological Sciences,General Engineering,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering",False,False
1530,=152,National Taiwan University (NTU),61.9,1530,57.3,88,54.8,113,70.8,545,99.9,33,51.2,768,Taiwan,"24,744",11.1,13%,41 : 59,31%,National Taiwan University (NTU),"Architecture,Mechanical & Aerospace Engineering,Chemistry,Archaeology,Chemical Engineering,Communication & Media Studies,Computer Science,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Other Health,Agriculture & Forestry,Sociology,Art, Performing Arts & Design,Mathematics & Statistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Veterinary Science,Business & Management,General Engineering,Sport Science,Geography,Medicine & Dentistry,Civil Engineering,Law,Biological Sciences,Psychology",False,False
1540,=152,Université Paris Cité,61.9,1540,47.9,161,42.7,214,90.6,116,68.3,472,73.2,362,France,"61,690",16.9,18%,66 : 34,21%,Université Paris Cité france international student life,"Medicine & Dentistry,Chemical Engineering,Chemistry,Sociology,Economics & Econometrics,Accounting & Finance,History, Philosophy & Theology,Communication & Media Studies,Archaeology,Geography,Electrical & Electronic Engineering,Languages, Literature & Linguistics,General Engineering,Psychology,Law,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Biological Sciences,Physics & Astronomy,Business & Management,Education,Civil Engineering,Art, Performing Arts & Design,Computer Science,Sport Science,Mathematics & Statistics,Other Health",False,False
1550,=155,University of Arizona,61.8,1550,48.7,147,51.3,131,85.7,193,84.0,217,47.0,891,United States,"45,517",19.9,7%,56 : 44,25%,University of Arizona,"Languages, Literature & Linguistics,Chemistry,Law,Business & Management,Economics & Econometrics,History, Philosophy & Theology,Sociology,Veterinary Science,Psychology,Other Health,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Archaeology,Accounting & Finance,Biological Sciences,Mathematics & Statistics,General Engineering,Agriculture & Forestry,Geography,Physics & Astronomy,Computer Science,Architecture,Sport Science,Electrical & Electronic Engineering,Education,Communication & Media Studies,Mechanical & Aerospace Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Civil Engineering",False,False
1560,=155,University of Bologna,61.8,1560,53.0,112,44.6,193,86.5,182,79.4,272,54.3,687,Italy,"74,105",24.7,11%,57 : 43,27%,University of Bologna,"History, Philosophy & Theology,Agriculture & Forestry,Education,Other Health,Sport Science,Sociology,Languages, Literature & Linguistics,General Engineering,Veterinary Science,Geography,Architecture,Chemical Engineering,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Communication & Media Studies,Civil Engineering,Chemistry,Business & Management,Medicine & Dentistry,Biological Sciences,Politics & International Studies (incl Development Studies),Computer Science,Physics & Astronomy,Economics & Econometrics,Archaeology,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance",False,False
1570,=155,Lancaster University,61.8,1570,40.2,304,40.7,240,93.9,59,66.6,514,96.8,24,United Kingdom,"15,385",13.9,38%,51 : 49,34%,Lancaster University,"Chemistry,Electrical & Electronic Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Business & Management,Physics & Astronomy,Psychology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Other Health,Architecture,Communication & Media Studies,Sociology,General Engineering,Sport Science,Chemical Engineering,Accounting & Finance,Art, Performing Arts & Design,Languages, Literature & Linguistics,Law,Geology, Environmental, Earth & Marine Sciences,Computer Science,Biological Sciences,Mathematics & Statistics,Geography,Medicine & Dentistry,Education",False,False
1580,=158,Huazhong University of Science and Technology,61.7,1580,48.8,145,48.1,156,90.0,127,96.9,96,32.9,1391,China,"57,663",15.5,4%,,31%,Huazhong University of Science and Technology Hua Zhong University HUST Tech,"Architecture,Electrical & Electronic Engineering,Sociology,Communication & Media Studies,Mathematics & Statistics,Physics & Astronomy,History, Philosophy & Theology,Agriculture & Forestry,General Engineering,Business & Management,Computer Science,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Law,Economics & Econometrics,Chemistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Civil Engineering,Biological Sciences,Education,Chemical Engineering,Other Health",False,False
1590,=158,University of Waterloo,61.7,1590,42.2,260,49.3,148,83.7,243,78.3,286,89.3,134,Canada,"36,904",24.2,23%,47 : 53,39%,University of Waterloo,"Computer Science,Chemistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Physics & Astronomy,Economics & Econometrics,Civil Engineering,Sociology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Sport Science,Accounting & Finance,Art, Performing Arts & Design,Chemical Engineering,Geography,Architecture,Electrical & Electronic Engineering,Mathematics & Statistics,Communication & Media Studies,Business & Management,Languages, Literature & Linguistics,Biological Sciences,Psychology",False,False
1600,160,University of Cologne,61.5,1600,42.9,240,47.1,165,85.6,197,98.8,70,73.3,359,Germany,"31,299",28.7,17%,,20%,University of Cologne,"Languages, Literature & Linguistics,Sociology,Physics & Astronomy,Education,Chemistry,Economics & Econometrics,Medicine & Dentistry,Law,Accounting & Finance,Archaeology,Geography,Other Health,Communication & Media Studies,Mathematics & Statistics,Business & Management,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Biological Sciences,Psychology",False,False
1610,=161,University of Antwerp,61.4,1610,38.2,357,44.4,195,92.5,84,98.4,81,74.7,335,Belgium,"16,168",31.8,17%,56 : 44,24%,University of Antwerp,"Sociology,General Engineering,Education,Biological Sciences,Law,Languages, Literature & Linguistics,Business & Management,Chemical Engineering,Physics & Astronomy,History, Philosophy & Theology,Economics & Econometrics,Veterinary Science,Chemistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Communication & Media Studies,Computer Science,Other Health,Geology, Environmental, Earth & Marine Sciences,Architecture,Mechanical & Aerospace Engineering,Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design",False,False
